movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0043265;The African Queen;Adventure,Drama,Romance;7.7;79245;1000000;10750000;1952-01-07;en;11.39;africa,missionary,river,boat,patriotism,world war i,hippopotamus,giraffe,methodist church,moqukito,boat wedding,leech,gin,tanzania,congo,animal species,hope,faith,technicolor
tt0043274;Alice in Wonderland;Adventure,Animation,Comedy;7.4;142759;3000000;572000000;1951-07-28;en;96.146;cat,dream,queen,heart,nothing,tea party,based on young adult novel
tt0043456;The Day the Earth Stood Still;Drama,Sci-Fi;7.8;82397;995000;1850000;1951-09-28;en;18.099;spacecraft,flying saucer,peace,remote control,ufo,giant robot,social commentary,black and white,military,physics professor,humanity,alien technology,mathematical equation
tt0044079;Strangers on a Train;Crime,Drama,Film-Noir;7.9;134495;1200000;7000000;1951-06-27;en;13.358;perfect crime,detective,based on novel or book,infidelity,obsession,island,suspicion,carousel ,psychopath,lighter,film noir,black and white,train,strangulation,amusement park,husband wife estrangement,chance meeting,cocktail party,fiancée,penn station,storm drain,tennis match,tennis pro,murder swap
tt0044081;A Streetcar Named Desire;Drama;7.9;108831;1800000;8000000;1951-09-18;en;14.647;sibling relationship,southern usa,rape,loss of sense of reality,brother-in-law,violent husband,new orleans, louisiana,family relationships,black and white,light bulb,expectant father,sister sister relationship
tt0044706;High Noon;Drama,Thriller,Western;8.0;104846;730000;8000000;1952-06-09;en;14.874;gunslinger,showdown,fistfight,shootout,morality,u.s. marshal,black and white,battle,justice,one against many,quick draw,brawl,ticking clock
tt0044741;Ikiru;Drama;8.3;78807;0;55240;1952-10-09;ja;15.79;bureaucracy,japan,age difference,office,night life,sense of life,playground,obsequies,swing,loneliness,infatuation,bureaucrat
tt0045152;Singin' in the Rain;Comedy,Musical,Romance;8.3;242466;2540800;7200000;1952-04-09;en;21.672;fan,morning,musical,talkie,partner,film in film,hollywood,broadway,audience,chorus girl,diction coach,pearl necklace,flapper,1920s
tt0046183;Peter Pan;Adventure,Animation,Family;7.3;140895;4000000;87404651;1953-02-05;en;73.931;flying,sibling relationship,becoming an adult,magic,fairy,child hero,bravery,peter pan,musical,pirate gang,mermaid,pirate,native peoples
tt0046250;Roman Holiday;Comedy,Romance;8.0;139057;1500000;12000000;1953-08-26;en;17.017;rome, italy,secret identity,boat,dance,intelligence,forbidden love,embassy,duty,sightseeing,photography,black and white
tt0046268;The Wages of Fear;Adventure,Drama,Thriller;8.2;61608;0;0;1953-04-22;fr;12.878;life and death,venezuela,fire,central and south america,tanker,petrol,unsociability,nitroglycerin,truck,oil,on the road,driver
tt0046359;Stalag 17;Comedy,Drama,War;8.0;56181;1661530;0;1953-05-29;en;10.873;chess,spy,plant,guard,based on play or musical,escape,security,christmas,barracks,prisoner of war camp
tt0046438;Tokyo Story;Drama;8.2;62070;0;0;1953-11-03;ja;12.303;coma,beach,baby,fish,boat,office,baseball,classroom,dream,lantern,lie,ambition,tea,retirement,cake,marriage,peace,class,swing,honor,teacher,school,old man,black and white
tt0046911;Diabolique;Crime,Drama,Horror;8.1;66259;0;0;1955-01-29;fr;12.754;lover (female),wife,swimming pool,morgue,teacher,plan gone wrong,mistress,hitchcockian,french noir,boys' boarding school,headmaster,philanderer,mischievous children,missing body,abusive husband,abused wife,wicker trunk,frightened woman,surprise ending
